1260100,Pretty Woman,Romantic Comedy,14000000,254160093,1990-03-23
1270100,Hitch,Romantic Comedy,55000000,189000000,2005-02-11
1290100,Night at the Museum: Battle of the Smithsonian,Adventure,150000000,224987342,2009-05-22
1300100,Top Gun,Action,15000000,176999033,1986-05-16
1310100,There's Something About Mary,Romantic Comedy,22000000,193400000,1998-07-15
1320100,Ice Age,Adventure,65000000,209728938,2002-03-15
1330100,The Bourne Supremacy,Thriller/Suspense,85000000,134913674,2004-07-23
1350100,Home Alone 2: Lost in New York,Comedy,20000000,185409334,1992-11-20
1360100,Elf,Comedy,32000000,46837892,2003-11-07
1370100,National Treasure,Adventure,100000000,158318408,2004-11-19
1410100,The Matrix,Action,65000000,291980811,1999-03-31
1420100,Beauty and the Beast,Musical,20000000,232323678,1991-11-13
1430100,Tarzan,Adventure,145000000,277100000,1999-06-16
1440100,A Beautiful Mind,Drama,78000000,146959062,2001-12-21
1450100,Chicago,Musical,30000000,136083027,2002-12-27
1460100,Quantum of Solace,Action,230000000,422323651,2008-11-14
1470100,Wild Hogs,Comedy,60000000,85341799,2007-03-02
1490100,Casino Royale,Action,102000000,427055283,2006-11-17
1500100,Meet the Parents,Comedy,55000000,164200000,2000-10-06
1510100,Close Encounters of the Third Kind,Adventure,20000000,171700000,1977-11-16
1530100,Hannibal,Horror,87000000,185008014,2001-02-09
1540100,Catch Me if You Can,Drama,52000000,191005491,2002-12-25
1550100,Big Daddy,Comedy,30000000,65161488,1999-06-25
1560100,The Sound of Music,Musical,8200000,122999909,1965-01-01
1570100,Batman Returns,Action,80000000,103990656,1992-06-18
1580100,A Bug's Life,Adventure,45000000,200296754,1998-11-20
1590100,The Pursuit of Happyness,Drama,55000000,144725057,2006-12-15
1600100,The Proposal,Romantic Comedy,40000000,150751686,2009-06-19
1610100,The Waterboy,Comedy,23000000,28700000,1998-11-06
1620100,Die Another Day,Action,142000000,271000000,2002-11-22
1630100,Shark Tale,Adventure,75000000,210329123,2004-09-20
1660100,The Longest Yard,Comedy,82000000,33439045,2005-05-27
1670100,X-Men,Action,75000000,139572650,2000-07-14
1680100,Scary Movie,Comedy,19000000,120180229,2000-07-07
1700100,What Lies Beneath,Thriller/Suspense,90000000,133229638,2000-07-21
1710100,The Mummy,Adventure,80000000,261000000,1999-05-07
1720100,Fast & Furious,Action,85000000,204283568,2009-04-03
1730100,Over the Hedge,Adventure,80000000,188377907,2006-05-19
1740100,Fantastic Four,Action,87500000,178436670,2005-07-08
1750100,Horton Hears a Who,Adventure,85000000,144948447,2008-03-14
1770100,Jerry Maguire,Romantic Comedy,50000000,119600000,1996-12-13
1790100,Scooby-Doo,Adventure,84000000,123000000,2002-06-14
1800100,101 Dalmatians,Adventure,0,301581,1961-01-25
1810100,Sex and the City,Comedy,57500000,262600000,2008-05-30
1820100,Runaway Bride,Romantic Comedy,70000000,157880669,1999-07-30
1840100,Terminator 3: Rise of the Machines,Action,170000000,282700000,2003-07-01
1850100,Knocked Up,Romantic Comedy,27500000,70504187,2007-06-01
1860100,As Good as it Gets,Romantic Comedy,50000000,165633912,1997-12-24
1870100,Talladega Nights: The Ballad of Ricky Bobby,Comedy,73000000,14657148,2006-08-04
1880100,Gremlins,Comedy,11000000,783533,1984-06-08
1890100,Gran Torino,Drama,25000000,126447783,2008-12-12
1910100,G.I. Joe: The Rise of Cobra,Action,175000000,152267519,2009-08-07
1920100,Paul Blart: Mall Cop,Adventure,26000000,39568572,2009-01-16
1940100,Lilo & Stitch,Adventure,80000000,100028473,2002-06-21
1960100,Taken,Thriller/Suspense,25000000,81940596,2008-04-09
1970100,The Santa Clause,Adventure,22000000,44966643,1994-11-11
1980100,"I, Robot",Action,105000000,203828562,2004-07-16
2000100,The Fast and the Furious,Action,38000000,61946062,2001-06-22
2010100,Doctor Dolittle,Adventure,71500000,150000000,1998-06-26
2020100,Mamma Mia!,Musical,52000000,459474011,2008-07-02
2030100,Juno,Comedy,7000000,87954837,2007-12-05
2040100,Marley & Me,Comedy,60000000,104658260,2008-12-25
2050100,xXx,Action,70000000,125270000,2002-08-09
2070100,The Chronicles of Narnia: Prince Caspian,Adventure,225000000,275719798,2008-05-16
2110100,Slumdog Millionaire,Drama,14000000,242494724,2008-11-12
2120100,Rush Hour,Action,35000000,104113136,1998-09-18
