"movie_odid","display_name","franchise"
"11360100","Miss Congeniality 2: Armed and Fabulous","Miss Congeniality"
"11370100","Peter Pan: Return to Neverland","Peter Pan"
"11380100","Peter Pan","Peter Pan"
"11470100","Speed 2: Cruise Control","Speed"
"11570100","The Jungle Book 2","Jungle Book"
"11610100","Big Fat Liar","Big Fat Liar"
"11620100","Alien: Resurrection","Alien"
"11670100","Agent Cody Banks","Agent Cody Banks"
"11730100","Hostel","Hostel"
"11750100","Nanny McPhee","Nanny McPhee"
"11760100","First Blood","Rambo"
"11800100","Halloween","Halloween"
"11810100","Silent Hill","Silent Hill"
"11840100","Final Destination 2","Final Destination"
"11870100","The Spy Who Loved Me","James Bond"
"11880100","Boogeyman","Boogeyman"
"12000100","Romeo+Juliet","The Red Curtain Trilogy"
"12140100","Underworld 3: Rise of the Lycans","Underworld"
"12190100","The Legend of Zorro","Zorro"
"12240100","Bean","Bean"
"12270100","Zoolander","Zoolander"
"12280100","28 Days Later…","28 Days Later"
"12560100","The Sisterhood of the Traveling Pants 2","Sisterhood of the Traveling Pants"
"12580100","The Shining","The Shining"
"12670100","Diamonds Are Forever","James Bond"
"12700100","Pokemon 2000","Pokemon"
"12760100","Soul Food","Soul Food"
"12800100","Star Trek: Nemesis","Star Trek"
"12860100","You Only Live Twice","James Bond"
"12870100","The Transporter 2","Transporter"
"12970100","Rambo","Rambo"
"13320100","Exorcist: The Beginning","Exorcist"
"13340100","Aliens vs. Predator - Requiem","AVP"
"13340100","Aliens vs. Predator - Requiem","Predator"
"13340100","Aliens vs. Predator - Requiem","Alien"
"13350100","The Hills Have Eyes","Hills Have Eyes"
"13680100","House on Haunted Hill","House on Haunted Hill"
"13900100","Bridget Jones: The Edge Of Reason","Bridget Jones"
"13910100","Catwoman","Batman"
"13990100","You Got Served","You Got Served"
"14040100","I Still Know What You Did Last Summer","I Know What You Did Last Summer"
"14060100","Bill & Ted’s Excellent Adventure","Bill & Ted"
"14080100","Caddyshack","Caddyshack"
"14090100","I Can Do Bad All By Myself","Madea"
"14110100","Friday the 13th","Friday the 13th"
"14150100","Hitman","Hitman: Agent 47"
"14190100","Resident Evil","Resident Evil"
"14200100","The Texas Chainsaw Massacre: The Beginning","Texas Chainsaw Massacre"
"14230100","Rugrats Go Wild","Rugrats Movie"
"14320100","Pitch Black","Riddick"
"14360100","The Grudge 2","Grudge"
"14390100","The Sisterhood of the Traveling Pants","Sisterhood of the Traveling Pants"
"14750100","Urban Legend","Urban Legend"
"14760100","Harold & Kumar Escape from Guantanamo Bay","Harold & Kumar"
"14790100","The Terminator","Terminator"
"14870100","Jeepers Creepers","Jeepers Creepers"
"15060100","The Fly","Fly"
"15080100","Bill & Ted's Bogus Journey","Bill & Ted"
"15570100","Vegas Vacation","National Lampoon's Vacation"
