"movie_odid","display_name","release_odid","release_name","video_release_date","type","distributor"
"330100","Harry Potter and the Order of the Phoenix","11420119","Harry Potter and the Order of the Phoenix","2007-12-11","Regular","Warner Home Video"
"340100","Up","29960119","Up","2009-11-10","","Walt Disney Home Entertainment"
"350100","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","750119","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","2006-04-04","","Walt Disney Home Entertainment"
"360100","Star Wars Ep. V: The Empire Strikes Back","3750119","Star Wars Episode V - The Empire Strikes Back (1980 & 2004 versions)","2006-09-12","Regular","Fox Home Entertainment"
"370100","Harry Potter and the Goblet of Fire","1500119","Harry Potter and the Goblet of Fire","2006-03-07","Regular","Warner Home Video"
"380100","Home Alone","5260119","Home Alone","1999-10-05","Regular","Fox Home Entertainment"
"390100","The Matrix Reloaded","20150119","Matrix Reloaded, The","2003-10-14","Regular","Warner Home Video"
"410100","The Hangover","30930119","The Hangover","2009-12-15","","Warner Home Video"
"420100","Shrek","8820119","Shrek","2001-11-02","","Dreamworks Animated Video"
"430100","Harry Potter and the Chamber of Secrets","1770119","Harry Potter and the Chamber of Secrets","2003-04-11","Regular","Warner Home Video"
"440100","The Incredibles","31680119","The Incredibles","2005-03-15","","Walt Disney Home Entertainment"
"450100","How the Grinch Stole Christmas","21310119","How the Grinch Stole Christmas","2001-11-20","Regular","Universal Home Entertainment"
"460100","Jaws","69420119","Jaws","2012-08-14","Regular","Universal Home Entertainment"
"470100","Star Trek","31080119","Star Trek","2009-11-17","","Paramount Home Video"
"480100","I am Legend","14800119","I am Legend","2008-03-18","","Warner Home Video"
"490100","Monsters, Inc.","25980119","Monsters, Inc.","2002-09-17","Regular","Walt Disney Home Entertainment"
"500100","Batman","26310119","Batman","1997-10-07","Regular","Warner Home Video"
"510100","Night at the Museum","8500119","Night at the Museum","2007-04-24","","Fox Home Entertainment"
"510100","Night at the Museum","147500119","Night at the Museum: Three Movie Collection","2017-02-07","","Fox Home Entertainment"
"520100","Men in Black","16640119","Men in Black","1997-10-23","","Sony Pictures Home Entertainment"
"530100","Harry Potter and the Prisoner of Azkaban","1740119","Harry Potter and the Prisoner of Azkaban","2004-11-23","Regular","Warner Home Video"
"540100","Toy Story 2","1310119","Toy Story 2","2001-03-20","","Walt Disney Home Entertainment"
"550100","Raiders of the Lost Ark","17580119","Indiana Jones and the Raiders of the Lost Ark","2008-05-13","Regular","Paramount Home Video"
"560100","Cars","630119","Cars","2006-11-07","","Walt Disney Home Entertainment"
"590100","My Big Fat Greek Wedding","29440119","My Big Fat Greek Wedding","2003-02-11","","HBO Home Video"
"600100","Ghostbusters","25040119","Ghostbusters","1999-06-29","Regular","Columbia Pictures Home Entertainment"
"610100","Beverly Hills Cop","56230119","Beverly Hills Cop","1997-07-08","Regular","Paramount Home Video"
"620100","X-Men: The Last Stand","290119","X-Men: The Last Stand","2006-10-03","","Fox Home Entertainment"
"630100","War of the Worlds","1370119","War of the Worlds","2005-11-22","Regular","Dreamworks Video"
"640100","Cast Away","170640119","Cast Away","2002-03-05","Regular","Fox Home Entertainment"
"650100","The Lost World: Jurassic Park","113940119","The Lost World: Jurassic Park","1998-09-29","Regular","Universal Home Entertainment"
"660100","Signs","237230119","Signs","2003-01-07","Regular","Touchstone Home Video"
"670100","Hancock","20940119","Hancock","2008-11-25","","Sony Pictures Home Entertainment"
"680100","The Bourne Ultimatum","11540119","Bourne Ultimatum, The","2007-12-11","","Universal Home Entertainment"
"700100","WALL-E","20920119","WALL-E","2008-11-18","Regular","Walt Disney Home Entertainment"
"710100","National Treasure: Book of Secrets","15560119","National Treasure: Book of Secrets","2008-05-20","Regular","Walt Disney Home Entertainment"
"730100","King Kong","1920119","King Kong","2006-03-28","","Universal Home Entertainment"
"730100","King Kong","51480119","King Kong (2005)","2006-03-28","Regular","Universal Home Entertainment"
"740100","Ghost","25100119","Ghost","2001-04-24","Regular","Paramount Home Video"
"750100","The Da Vinci Code","3370119","Da Vinci Code, The","2006-11-14","","Sony Pictures Home Entertainment"
"760100","Aladdin","19550119","Aladdin","2004-10-05","Regular","Walt Disney Home Entertainment"
"770100","Alvin and the Chipmunks","14870119","Alvin and the Chipmunks","2008-04-01","","Fox Home Entertainment"
"780100","Saving Private Ryan","35020119","Saving Private Ryan","1999-11-02","Regular","Dreamworks Video"
"790100","Kung Fu Panda","21500119","Kung Fu Panda","2008-11-09","","Dreamworks Animated Video"
"800100","Mission: Impossible 2","45220119","Mission: Impossible 2","2000-11-07","Regular","Paramount Home Video"
"810100","X-Men 2","4410119","X-Men 2: X-Men United","2003-11-25","","Fox Home Entertainment"
"810100","X-Men 2","41120119","X-2: X-Men United","2003-11-25","","Fox Home Entertainment"
"840100","Back to the Future","38280119","Back to the Future","2009-02-10","","Universal Home Entertainment"
"850100","Wedding Crashers","760119","Wedding Crashers","2006-01-03","Regular","New Line Home Video"
"860100","Charlie and the Chocolate Factory","1420119","Charlie and the Chocolate Factory","2005-11-08","","Warner Home Video"
"870100","Ratatouille","10740119","Ratatouille","2007-11-06","","Walt Disney Home Entertainment"
"890100","Batman Begins","1440119","Batman Begins","2005-10-18","Regular","Warner Home Video"
"900100","Terminator 2: Judgment Day","21910119","Terminator 2: Judgment Day","1997-10-22","Regular","Live / Artisan"
"910100","The Exorcist","55570119","The Exorcist","1992-07-15","Regular","Warner Home Video"
"940100","Superman Returns","4850119","Superman Returns","2006-11-28","","Warner Home Video"
"950100","Gone with the Wind","33810119","Gone with the Wind","1998-10-27","Regular","MGM Video"
"960100","Pearl Harbor","32420119","Pearl Harbor","2001-12-04","","Walt Disney Home Entertainment"
"970100","Monsters vs. Aliens","29660119","Monsters vs. Aliens","2009-09-29","","Dreamworks Video"
"980100","Happy Feet","7770119","Happy Feet","2007-03-27","","Warner Home Video"
"990100","Indiana Jones and the Last Crusade","17590119","Indiana Jones and the Last Crusade","2008-05-13","Regular","Paramount Home Video"
"1000100","Ice Age: The Meltdown","310119","Ice Age: The Meltdown","2006-11-21","","Fox Home Entertainment"
"1010100","Ice Age: Dawn of the Dinosaurs","30490119","Ice Age: Dawn of the Dinosaurs","2009-10-27","Regular","Fox Home Entertainment"
"1020100","Madagascar","1320119","Madagascar","2005-11-15","","Dreamworks Animated Video"
"1030100","Toy Story","34700119","Toy Story","1996-10-30","Regular","Walt Disney Home Entertainment"
"1040100","Twilight","24960119","Twilight","2009-03-21","Regular","Summit Home Video"
"1050100","Men in Black 2","64500119","Men in Black 2","2002-11-26","Regular","Sony Pictures Home Entertainment"
"1060100","Gladiator","8280119","Gladiator","2000-11-21","Regular","Dreamworks Video"
"1070100","The Day After Tomorrow","41130119","The Day After Tomorrow","2004-10-12","","Fox Home Entertainment"
"1080100","Mr. and Mrs. Smith","810119","Mr. and Mrs. Smith","2005-11-29","","Fox Home Entertainment"
"1100100","Dances with Wolves","38520119","Dances with Wolves","1993-04-20","Regular","Orion Video"
"1110100","Batman Forever","54450119","Batman Forever","2009-02-10","Regular","Warner Home Video"
"1130100","Ocean's Eleven","9780119","Ocean's Eleven","2002-05-07","","Warner Home Video"
"1140100","The Simpsons Movie","11590119","Simpsons Movie, The","2007-12-18","Regular","Fox Home Entertainment"
"1160100","The Perfect Storm","16990119","Perfect Storm, The","2000-11-14","","Warner Home Video"
"1170100","Grease","3800119","Grease","2002-09-24","Regular","Paramount Home Video"
"1180100","Liar Liar","227990119","Liar Liar","1999-10-19","Regular","Universal Home Entertainment"
"1190100","Jurassic Park III","50580119","Jurassic Park 3","2001-12-11","Regular","Universal Home Entertainment"
"1210100","The Polar Express","5010119","The Polar Express","2005-12-26","Regular","Warner Home Video"
"1220100","Planet of the Apes","41250119","Planet of the Apes (2001)","2001-11-20","Regular","Fox Home Entertainment"
"1230100","Madagascar: Escape 2 Africa","24590119","Madagascar: Escape 2 Africa","2009-02-06","Regular","Dreamworks Animated Video"
"1240100","Indiana Jones and the Temple of Doom","17600119","Indiana Jones and the Temple of Doom","2008-05-13","Regular","Paramount Home Video"
"1250100","X-Men Origins: Wolverine","29680119","X-Men Origins: Wolverine","2009-09-15","Regular","Fox Home Entertainment"
"1260100","Pretty Woman","163260119","Pretty Woman","2005-08-30","Regular","Walt Disney Home Entertainment"
"1270100","Hitch","1480119","Hitch","2005-06-14","Regular","Sony Pictures Home Entertainment"
"1290100","Night at the Museum: Battle of the Smithsonian","30790119","Night at the Museum: Battle of the Smithsonian","2009-12-01","","Fox Home Entertainment"
"1300100","Top Gun","20280119","Top Gun","1998-10-21","Regular","Paramount Home Video"
"1310100","There's Something About Mary","61580119","There's Something About Mary","1999-08-03","Regular","Fox Home Entertainment"
"1320100","Ice Age","1840119","Ice Age","2002-11-26","","Fox Home Entertainment"
"1330100","The Bourne Supremacy","9020119","Bourne Supremacy, The","2004-12-07","","Universal Home Entertainment"
"1350100","Home Alone 2: Lost in New York","144000119","Home Alone 2: Lost in New York","1999-10-05","Regular","Fox Home Entertainment"
"1360100","Elf","5120119","Elf","2004-11-16","Regular","New Line Home Video"
"1370100","National Treasure","18770119","National Treasure","2005-05-03","","Walt Disney Home Entertainment"
"1410100","The Matrix","19830119","Matrix, The","1999-09-21","","Warner Home Video"
"1420100","Beauty and the Beast","9630119","Beauty and the Beast","2002-10-08","","Walt Disney Home Entertainment"
"1430100","Tarzan","99770119","Tarzan","2000-02-01","Regular","Walt Disney Home Entertainment"
"1440100","A Beautiful Mind","37260119","A Beautiful Mind","2002-06-25","Regular","Universal Home Entertainment"
"1450100","Chicago","91120119","Chicago","2014-02-11","Regular","Lionsgate Miramax"
"1460100","Quantum of Solace","25010119","Quantum of Solace","2009-03-24","Regular","MGM Video"
"1470100","Wild Hogs","9580119","Wild Hogs","2007-08-14","","Walt Disney Home Entertainment"
"1490100","Casino Royale","6490119","Casino Royale","2007-03-13","Regular","Sony Pictures Home Entertainment"
"1510100","Close Encounters of the Third Kind","24530119","Close Encounters of the Third Kind","2001-05-29","Regular","Sony Pictures Home Entertainment"
"1530100","Hannibal","197530119","Hannibal","2006-01-31","Regular","MGM Video"
"1540100","Catch Me if You Can","56760119","Catch Me If You Can","2003-05-06","","Dreamworks Video"
"1550100","Big Daddy","265970119","Big Daddy","1999-11-02","Regular","Sony Pictures Home Entertainment"
"1560100","The Sound of Music","40360119","The Sound of Music ","1992-12-07","","Fox Home Entertainment"
"1570100","Batman Returns","54500119","Batman Returns","1992-10-21","Regular","Warner Home Video"
"1580100","A Bug's Life","21270119","Bug's Life, A","1999-04-20","Regular","Walt Disney Home Entertainment"
"1590100","The Pursuit of Happyness","7090119","Pursuit of Happyness, The","2007-03-27","","Sony Pictures Home Entertainment"
"1600100","The Proposal","31050119","The Proposal","2009-10-13","","Walt Disney Home Entertainment"
"1610100","The Waterboy","227980119","The Waterboy","2009-08-04","Regular",""
"1630100","Shark Tale","4490119","Shark Tale","2005-02-08","","Dreamworks Animated Video"
"1660100","The Longest Yard","14360119","Longest Yard, The","2005-09-20","","Paramount Home Video"
"1670100","X-Men","3320119","X-Men","2000-11-21","Regular","Fox Home Entertainment"
"1670100","X-Men","149020119","X-Men Collection","2016-11-01","","Fox Home Entertainment"
"1700100","What Lies Beneath","44740119","What Lies Beneath","2001-01-31","Regular","Dreamworks Video"
"1710100","The Mummy","20780119","Mummy, The","1999-09-28","","Universal Home Entertainment"
"1720100","Fast & Furious","28390119","Fast & Furious","2009-07-28","Regular","Universal Home Entertainment"
"1730100","Over the Hedge","300119","Over the Hedge","2006-10-17","","Dreamworks Video"
"1740100","Fantastic Four","1300119","Fantastic Four","2005-12-06","","Fox Home Entertainment"
"1750100","Horton Hears a Who","21450119","Horton Hears a Who!","2008-12-09","","Fox Home Entertainment"
"1770100","Jerry Maguire","145280119","Jerry Maguire","1997-05-29","Regular","Sony Pictures Home Entertainment"
"1800100","101 Dalmatians","15820119","101 Dalmatians","1999-11-09","Regular","Walt Disney Home Entertainment"
"1810100","Sex and the City","21600119","Sex and the City - The Movie","2008-09-23","Regular","New Line Home Video"
"1840100","Terminator 3: Rise of the Machines","26070119","Terminator 3: The Rise of the Machines","2004-06-01","","Warner Home Video"
"1850100","Knocked Up","10850119","Knocked Up","2007-09-25","","Universal Home Entertainment"
"1870100","Talladega Nights: The Ballad of Ricky Bobby","5040119","Talladega Nights: The Ballad of Ricky Bobby","2006-12-12","","Sony Pictures Home Entertainment"
"1880100","Gremlins","11030119","Gremlins","2001-08-21","Regular","Warner Home Video"
"1890100","Gran Torino","26680119","Gran Torino","2009-06-09","","Warner Home Video"
"1910100","G.I. Joe: The Rise of Cobra","31540119","G.I. Joe: The Rise of Cobra","2009-11-03","","Paramount Home Video"
"1920100","Paul Blart: Mall Cop","26750119","Paul Blart: Mall Cop","2009-05-19","","Sony Pictures Home Entertainment"
"1940100","Lilo & Stitch","27160119","Lilo &amp; Stitch","2002-12-03","","Walt Disney Home Entertainment"
"1960100","Taken","27470119","Taken","2009-05-12","","Fox Home Entertainment"
"1970100","The Santa Clause","5200119","The Santa Clause","2002-10-29","Regular","Walt Disney Home Entertainment"
"1980100","I, Robot","12600119","I, Robot","2004-12-14","","Fox Home Entertainment"
"2000100","The Fast and the Furious","29830119","The Fast and the Furious","2002-01-02","Regular","Universal Home Entertainment"
"2010100","Doctor Dolittle","233190119","Doctor Dolittle","2011-03-22","Regular","Fox Home Entertainment"
"2020100","Mamma Mia!","23210119","Mamma Mia!","2008-12-16","Regular","Universal Home Entertainment"
"2030100","Juno","15730119","Juno","2008-04-15","Regular","Fox Home Entertainment"
"2040100","Marley & Me","25520119","Marley and Me","2009-03-31","","Fox Home Entertainment"
"2050100","xXx","145780119","xXx","2002-12-31","Regular","Sony Pictures Home Entertainment"
"2070100","The Chronicles of Narnia: Prince Caspian","23680119","Chronicles of Narnia: Prince Caspian, The","2008-12-02","","Walt Disney Home Entertainment"
"2110100","Slumdog Millionaire","26180119","Slumdog Millionaire","2009-03-31","","Fox Home Entertainment"
"2120100","Rush Hour","52650119","Rush Hour","1999-06-15","Regular","Warner Home Video"
"2130100","The Blair Witch Project","46640119","The Blair Witch Project","2010-10-05","Regular","Lionsgate Home Entertainment"
"2150100","Rush Hour 3","11700119","Rush Hour 3","2007-12-23","","New Line Home Video"
"2170100","Stuart Little","26910119","Stuart Little","2000-04-18","","Sony Pictures Home Entertainment"
"2180100","The Rocky Horror Picture Show","37140119","The Rocky Horror Picture Show","1992-11-04","Regular","Fox Home Entertainment"
"2200100","Saturday Night Fever","150720119","Saturday Night Fever","2009-05-05","Regular","Paramount Home Video"
"2210100","The Matrix Revolutions","20170119","Matrix Revolutions, The","2004-04-06","Regular","Warner Home Video"
"2220100","The Santa Clause 2","144050119","The Santa Clause 2","2003-11-18","Online Only","Walt Disney Home Entertainment"
"2230100","Cheaper by the Dozen","273780119","Cheaper by the Dozen","2004-04-06","Regular","Fox Home Entertainment"
"2250100","Good Will Hunting","58960119","Good Will Hunting","1998-12-01","Regular","Miramax Video"
"2260100","Platoon","56020119","Platoon","1997-12-10","Regular","Live / Artisan"
"2270100","Dinosaur","266050119","Dinosaur","2001-01-30","Regular","Walt Disney Home Entertainment"
"2280100","Click","3960119","Click","2006-10-10","","Sony Pictures Home Entertainment"
"2290100","The Green Mile","103810119","The Green Mile","2000-06-13","Regular","Warner Home Video"
"2310100","Godzilla","204850119","Godzilla","1998-11-03","Regular","Sony Pictures Home Entertainment"
"2340100","Chicken Little","1850119","Chicken Little","2006-03-21","","Walt Disney Home Entertainment"
"2350100","Teenage Mutant Ninja Turtles","99690119","Teenage Mutant Ninja Turtles","1991-09-05","Regular","Artisan Entertainment"
"2360100","Patch Adams","104260119","Patch Adams","2002-06-11","Regular","Universal Home Entertainment"
"2370100","The Godfather","15810119","The Godfather","2004-05-11","Regular","Paramount Home Video"
"2380100","The Incredible Hulk","22580119","The Incredible Hulk","2008-10-21","Regular","Universal Home Entertainment"
"2390100","Live Free or Die Hard","11570119","Live Free or Die Hard","2007-11-20","","Fox Home Entertainment"
"2400100","Wanted","22830119","Wanted","2008-12-02","","Universal Home Entertainment"
"2410100","Superman","2910119","Superman - The Movie","2001-05-01","Regular","Warner Home Video"
"2430100","Mission: Impossible III","4020119","Mission: Impossible III","2006-10-30","Regular","Paramount Home Video"
"2440100","Angels & Demons","30760119","Angels & Demons","2009-11-24","","Sony Pictures Home Entertainment"
"2450100","The Departed","6220119","Departed, The","2007-02-13","Regular","Warner Home Video"
"2460100","Troy","8270119","Troy","2005-01-04","","Warner Home Video"
"2480100","Hulk","21920119","Hulk","2003-10-28","","Universal Home Entertainment"
"2490100","Minority Report","36040119","Minority Report","2002-12-17","","Dreamworks Video"
"2500100","Fantastic Four: Rise of the Silver Surfer","10890119","Fantastic Four - Rise of the Silver Surfer","2007-10-02","","Fox Home Entertainment"
"2510100","Lara Croft: Tomb Raider","32440119","Lara Croft: Tomb Raider","2001-11-13","","Paramount Home Video"
"2520100","The Silence of the Lambs","5970119","Silence of the Lambs, The","1997-10-03","Regular","Orion Video"
"2530100","Honey, I Shrunk the Kids","182450119","Honey, I Shrunk the Kids","2002-10-08","Regular","Walt Disney Home Entertainment"
"2560100","Get Smart","22240119","Get Smart","2008-11-04","","Warner Home Video"
"2600100","The Ring","8320119","Ring, The","2003-03-04","Regular","Dreamworks Video"
"2620100","Borat","6340119","Borat - Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","2007-03-06","Regular","Fox Home Entertainment"
"2630100","Robots","8100119","Robots","2005-09-27","","Fox Home Entertainment"
"2650100","Crouching Tiger, Hidden Dragon","36830119","Crouching Tiger, Hidden Dragon","2001-06-05","Regular","Sony Pictures Home Entertainment"
"2660100","Rocky IV","42700119","Rocky IV","1992-04-29","Regular","MGM Video"
"2670100","Enchanted","13870119","Enchanted","2008-03-18","Regular","Walt Disney Home Entertainment"
"2680100","The Curious Case of Benjamin Button","26710119","The Curious Case of Benjamin Button","2009-05-05","","Paramount Home Video"
"2690100","Sweet Home Alabama","200350119","Sweet Home Alabama","2003-02-04","Regular","Buena Vista Home Entertainment"
"2700100","Dumb & Dumber","22840119","Dumb and Dumber","1997-05-21","Regular","New Line Home Video"
"2720100","The World is Not Enough","27370119","The World Is Not Enough","2000-05-16","","MGM Video"
"2750100","Sleepless in Seattle","34500119","Sleepless in Seattle","1997-06-25","Regular","Sony Pictures Home Entertainment"
"2760100","Bee Movie","12560119","Bee Movie","2008-03-11","Regular","Paramount Home Video"
"2800100","Erin Brockovich","237990119","Erin Brockovich","2000-08-15","Regular","Universal Home Entertainment"
"2810100","Ocean's Twelve","9770119","Ocean's Twelve","2005-04-12","Regular","Warner Home Video"
"2820100","Terminator Salvation","30700119","Terminator Salvation","2009-12-01","","Warner Home Video"
"2830100","Charlie's Angels","48830119","Charlies Angels","2001-06-26","Regular","Sony Pictures Home Entertainment"
"2840100","Tomorrow Never Dies","77730119","Tomorrow Never Dies","2013-02-13","Regular","Fox/MGM"
"2850100","Rocky III","42670119","Rocky 3","1996-04-16","Regular","MGM Video"
"2860100","The Devil Wears Prada","4990119","Devil Wears Prada, The","2006-12-12","","Fox Home Entertainment"
"2880100","Traffic","51640119","Traffic","2001-05-29","Regular","Universal Home Entertainment"
"2900100","City Slickers","17710119","City Slickers","2001-05-08","","MGM Video"
"2940100","The Bodyguard","62760119","The Bodyguard","1993-11-23","Regular","Warner Home Video"
"2960100","The Bourne Identity","9030119","Bourne Identity, The","2003-01-21","Regular","Universal Home Entertainment"
"2970100","Superbad","11620119","Superbad","2007-12-04","Regular","Sony Pictures Home Entertainment"
"2980100","Speed","41150119","Speed","1994-11-15","Regular","Fox Home Entertainment"
"2990100","50 First Dates","4450119","50 First Dates","2004-06-15","","Sony Pictures Home Entertainment"
"3000100","The Hunt for Red October","20250119","Hunt for Red October, The","1998-12-01","Regular","Paramount Home Video"
"3010100","Mulan","100450119","Mulan","1999-02-02","Regular","Buena Vista Home Entertainment"
"3020100","Seabiscuit","3480119","Seabiscuit","2003-12-16","Regular","Universal Home Entertainment"
"3030100","Van Helsing","3430119","Van Helsing","2004-10-19","","Universal Home Entertainment"
"3040100","Four Christmases","30680119","Four Christmases","2009-11-24","","Warner Home Video"
"3050100","The Mask","22850119","The Mask","1997-03-26","","New Line Home Video"
"3060100","I Now Pronounce You Chuck and Larry","11360119","I Now Pronounce You Chuck and Larry","2007-11-06","","Universal Home Entertainment"
"3080100","Walk the Line","1640119","Walk the Line","2006-02-28","Regular","Fox Home Entertainment"
"3100100","Total Recall","25930119","Total Recall","1997-06-18","Regular","TriStar Pictures Video"
"3120100","Fahrenheit 9/11","8750119","Fahrenheit 9/11","2004-10-05","Regular","Sony Pictures Home Entertainment"
"3130100","Hairspray","11530119","Hairspray","2007-11-20","Regular","New Line Home Video"
"3140100","The Break-Up","4270119","The Break-Up","2006-10-17","","Universal Home Entertainment"
"3150100","Lemony Snicket's A Series of Unfortunate Events","101700119","Lemony Snicket's A Series of Unfortunate Events","2005-04-26","Regular","Warner Home Video"
"3160100","Blades of Glory","10430119","Blades of Glory","2007-08-28","","Paramount Home Video"
"3170100","The Sum of All Fears","25180119","Sum of All Fears, The","2002-10-29","","Paramount Home Video"
"3210100","Die Hard 2","167330119","Die Hard 2","2008-12-16","Regular","Fox Home Entertainment"
"3220100","Rocky","33010119","Rocky","2005-02-08","Regular","MGM Video"
"3230100","G-Force","31140119","G-Force","2009-12-15","","Walt Disney Home Entertainment"
"3240100","Ocean's Thirteen","11450119","Ocean's Thirteen","2007-11-13","","Warner Home Video"
"3250100","S.W.A.T.","100650119","S.W.A.T.","2003-12-30","Regular","Sony Pictures Home Entertainment"
"3260100","Double Jeopardy","245680119","Double Jeopardy","2000-02-22","Regular","Paramount Home Video"
"3270100","8 Mile","21050119","8 Mile","2003-03-18","Regular","Universal Home Entertainment"
"3280100","Notting Hill","227830119","Notting Hill","1999-11-09","Regular","Universal Home Entertainment"
"3310100","Ghost Rider","9170119","Ghost Rider","2007-06-12","","Sony Pictures Home Entertainment"
"3320100","Remember the Titans","14350119","Remember the Titans","2001-03-20","Regular","Walt Disney Home Entertainment"
"3340100","American Graffiti","50620119","American Graffiti","2010-09-15","Regular","Universal Home Entertainment"
"3360100","Dodgeball: A True Underdog Story","41310119","Dodgeball: A True Underdog Story","2004-12-07","Regular","Fox Home Entertainment"
"3380100","Bolt","26110119","Bolt","2009-03-22","","Walt Disney Home Entertainment"
"3410100","The Patriot","19030119","Patriot, The","2000-10-24","","Sony Pictures Home Entertainment"
"3420100","The Pacifier","16860119","Pacifier, The","2005-06-28","","Walt Disney Home Entertainment"
"3440100","Spy Kids","57610119","Spy Kids","2001-09-18","","Walt Disney Home Entertainment"
"3460100","District 9","31780119","District 9","2009-12-22","Regular","Sony Pictures Home Entertainment"
"3470100","Face/Off","25170119","Face/Off","1998-10-07","","Paramount Home Video"
"3490100","Spy Kids 3-D: Game Over","61260119","Spy Kids 3-D: Game Over","2011-08-02","Regular","Lionsgate Home Entertainment"
"3500100","Inglourious Basterds","33340119","Inglourious Basterds","2009-12-15","Regular","Universal Home Entertainment"
"3510100","Doctor Zhivago","54370119","Doctor Zhivago","1995-09-26","Regular","MGM Video"
"3520100","Enemy of the State","205800119","Enemy of the State","1999-06-15","Regular",""
"3530100","The Little Mermaid","690119","The Little Mermaid","1999-12-07","Regular","Walt Disney Home Entertainment"
"3540100","The Last Samurai","8290119","The Last Samurai","2004-05-04","","Warner Home Video"
"3550100","Fun With Dick And Jane","2040119","Fun With Dick and Jane","2006-04-11","","Sony Pictures Home Entertainment"
"3560100","Tropic Thunder","22820119","Tropic Thunder","2008-11-18","Regular","Paramount Home Video"
"3570100","The Grudge","15600119","Grudge, The","2005-02-01","","Sony Pictures Home Entertainment"
"3590100","Bedtime Stories","26040119","Bedtime Stories","2009-04-05","","Walt Disney Home Entertainment"
"3630100","The 40 Year-old Virgin","770119","40-Year-Old Virgin, The","2005-12-13","","Universal Home Entertainment"
"3650100","One Flew Over the Cuckoo's Nest","17880119","One Flew Over the Cuckoo's Nest","1997-12-17","Regular","Warner Home Video"
